Index,संस्कृतम्,हिन्दी अर्ध,English Meaning,word,sandhied_word,kaaraka_sambandha,hindi_meaning
,,,,.,-,-,-
,,,,ततः,ततः,"सम्बन्धः,6.1",वहाँ_से
,रोहिणी,चन्द्रमा की पत्नी रोहिणी,Rohini(wife of the moon),वानर-,वानर-राजेन,"षष्ठी-तत्पुरुषः,2.2",वानर-
,,,,राजेन,--,"कर्ता,6.1",राजा_से
,,,,वैर-,वैर-अनुकथनं,"षष्ठी-तत्पुरुषः,3.2",वैर-
,यथा,के जैसे,like,अनुकथनम्,--,"आभिमुख्यम्,6.1",अनुकथन_की
,,,,प्रति,प्रति,"आभिमुख्य_द्योतकः,3.2",ओर
,,,,रामाय,रामाय,"प्रयोजनम्,6.1",राम_को
18.2.A,पौरैः,पुरवासियों के द्वारा,by the citizens(of Ayodhya),आवेदितम्,आवेदितं,-,घोषणा_किया_हुआ
,,,,सर्वम्,सर्वं,"कर्म,6.1",सब_को
,,,,प्रणयात्,प्रणयात्,"हेतुः,9.1",विवाह_करने_से
,अनुगतः,अनुसरण किया गया,followed,दुःखितेन,दुःखितेन,"विशेषणम्,2.2",दुःखी_से
,,,,च,च,"सम्बन्धः,9.1",च2
,,,,.,.,-,-
,दूरम्,दूर तक,a far,प्रतिज्ञातम्,प्रतिज्ञातं,-,सहमत_को
,,,,च,च,"सम्बन्धः,1.1",च1
,,,,रामेण,रामेण,"कर्ता,1.1",राम_से
,पित्रा,पिता,by father,तदा,तदा,"कालाधिकरणम्,1.1",तब
,,,,वालि-,वालि-वधं,"षष्ठी-तत्पुरुषः,5.2",वालि-
,,,,वधम्,--,"आभिमुख्यम्,1.1",वध_की
,दशरथेन,दशरथ के द्वारा,by Dasharatha,प्रति,प्रति,"आभिमुख्य_द्योतकः,1.1",ओर
,,,,.,.,-,-
,,,,वालिनः,वालिनः,"षष्ठीसम्बन्धः,3.1",वालियों_को
,च,और,and,च,च,"सम्बन्धः,1.1",च1
,,,,बलम्,बलं,"कर्म,5.1",बल_को
,,,,तत्र,तत्र,"देशाधिकरणम्,5.1",वहाँ
,28,28,28,कथयामास,कथयामास,"अभिहित_कर्ता,6.1;सकर्मक",कहा
,,,,वानरः,वानरः,"कर्ता,5.1",बन्दर
,,,,.,.,-,-
19.1.A,शृङ्गवेर-पुरे,शृङ्गवेरपुर में,at shringaverapura,सुग्रीवः,सुग्रीवः,"कर्ता,4.1",सुग्रीव_ने
,,,,शङ्कितः,शङ्कितः,"विधेय_विशेषणम्,1.1",सन्दिग्ध
,,,,च,च,"सम्बन्धः,1.1",च1
,,,,आसीत्,आसीत्,"अभिहित_कर्ता,2.1",था
,सूतं,सूतं,to the Charioteer,नित्यम्,नित्यं,"क्रियाविशेषणम्,2.1",नित्य
,,,,वीर्येण,वीर्येण,"हेतुः,2.1",शूरवीरते_के_द्वारा
,,,,राघवे,राघवे,"अधिकरणम्,2.1",रघुवंशी_में
,गङ्गा-कूले,गङ्गा के तीर पर,on the bank of Ganga,.,.,-,-
,,,,राघव-,राघव-प्रत्ययार्थं,"षष्ठी-तत्पुरुषः,1.2",राघव-
,,,,प्रत्यय-,--,"चतुर्थी-तत्पुरुषः,1.3",
,,,,अर्थम्,--,"प्रयोजनम्,6.1",
,व्यसर्जयत्,लौटा दिया,sent away,तु,तु,"सम्बन्धः,1.3",तो
,,,,दुन्दुभेः,दुन्दुभेः,"षष्ठीसम्बन्धः,4.1",कृष्ण_के
,,,,कायम्,कायम्,"कर्म,6.1",शरीर
19.2.A,गुहम्,गुह को,to Guha,उत्तमम्,उत्तमम्,"विशेषणम्,4.1",अच्छे
,,,,दर्शयामास,दर्शयामास,"अभिहित_कर्ता,7.1;सकर्मक",दिखाया
,,,,सुग्रीवः,सुग्रीवः,"प्रयोजककर्ता,6.1",सुग्रीव
,आसाद्य,प्राप्त कर,having met,महा-,महा-पर्वत-संनिभम्,"कर्मधारयः,8.2",महा-
,,,,पर्वत-,--,"तृतीया-तत्पुरुषः,8.3",पर्वत-
,,,,संनिभम्,--,"विशेषणम्,4.1",सन्निभ
,धर्मात्मा,पुण्यात्मा (राम ने),virtue-incarnate,.,.,-,-
,,,,उत्स्मयित्वा,उत्स्मयित्वा,"पूर्वकालः,8.1",हँस_कर
,,,,महा-,महा-बाहुः,"षष्ठी-बहुव्रीहिः,2.2",महा-
,निषादाधिपतिं,निषदों के राजा,the chief of Nishadas,बाहुः,--,"विशेषणम्,6.2",भुजा
,,,,प्रेक्ष्य,प्रेक्ष्य,"समुच्चितः,1.1",प्र_ईक्ष्1_कर
,,,,च,च,"समुच्चय_द्योतकः,3.1",च1
,प्रियम्,प्रिय,be loved,अस्थि,अस्थि,"कर्म,3.1",हड्डी
,,,,महा-,महा-बलः,"षष्ठी-बहुव्रीहिः,6.2",महा-
,,,,बलः,--,"कर्ता,8.1;कर्ता,3.1;कर्ता,1.1",बल_ने
,29,29,29,पाद-,पाद-अङ्गुष्ठेन,"षष्ठी-तत्पुरुषः,7.2",पाद-
,,,,अङ्गुष्ठेन,--,"करणम्,8.1",अंगूठे_से
,,,,चिक्षेप,चिक्षेप,"अभिहित_कर्ता,6.2;सकर्मक",फेका
20.1.A,गुहेन,गुह,Guha by name,सम्पूर्णम्,सम्पूर्णं,"विशेषणम्,10.2",संपूर्ण_को
,,,,दश-,दश-योजनम्,"कर्मधारयः,10.2",दश-
,,,,योजनम्,--,"कर्ता,8.1",योजन
,सहितः,के साथ,accompanied,.,.,-,-
,,,,बिभेद,बिभेद,"अभिहित_कर्ता,12.1;सकर्मक",चीरा
,,,,च,च,"सम्बन्धः,1.1",च1
,रामः,राम,shri Rama,पुनः,पुनः,"क्रियाविशेषणम्,1.1",फिर
,,,,सालान्,सालान्,"समुच्चितः,9.1",सालों_को
,,,,सप्त,सप्त,"विशेषणम्,4.1",सात
,लक्ष्मणेन,लक्ष्मण,Lakshmana,एकेन,एकेन,"विशेषणम्,7.2",एक
,,,,महा-,महा-इषुणा,"कर्मधारयः,7.2",महा-
,,,,इषुणा,--,"करणम्,1.1",बाण_से
,च,और,and,गिरिम्,गिरिं,"समुच्चितः,9.1",पर्वत_को
,,,,रसातलम्,रसातलं,"कर्म,1.1",रसातल_को
,,,,च,च,"समुच्चय_द्योतकः,9.1",च2
,सीतया,सीता,by Sita,एव,एव,"सम्बन्धः,10.1",ही
,,,,जनयन्,जनयन्,"वर्तमानसमानकालः,1.1",उत्पन्न_कराता_हुआ
,,,,प्रत्ययम्,प्रत्ययं,"कर्म,12.1",प्रत्यय
20.2.A,ते,वे,they,तदा,तदा,"कालाधिकरणम्,1.1",तब
,,,,.,.,-,-
,,,,ततः,ततः,"सम्बन्धः,11.1",वहाँ_से
,वनेन,वन से,from forest,प्रीत-,प्रीत-मनाः,"षष्ठी-बहुव्रीहिः,2.2",
,,,,मनाः,--,"विशेषणम्,5.1",मनस्
,,,,तेन,तेन,"कर्ता,4.1",उसके_द्वारा
,वनम्,वन [को],to forest,विश्वस्तः,विश्वस्तः,"विशेषणम्,5.1",विश्वस्त
,,,,सः,सः,"कर्ता,11.1",वह
,,,,महा-,महा-कपिः,"कर्मधारयः,6.2",महा-
,गत्वा,जाकर,having gone,कपिः,--,"विशेषणम्,5.1",बंदर
,,,,तदा,--,"कालाधिकरणम्,11.1",तब
,,,,राम-,--,"तृतीया-तत्पुरुषः,8.2",राम-
,नदीः,नदियों को,rivers,सहितः,--,"विशेषणम्,5.1",साथ
,,,,किष्किन्धाम्,--,"विशेषणम्,10.1",किष्किन्धा
,,,,गुहाम्,--,"कर्म,11.1",गुफा
,तीर्त्वा,पार कर,having crossed,जगाम,--,"अभिहित_कर्ता,5.1;सकर्मक",गया
,,,,च,--,"सम्बन्धः,11.1",च1
,,,,.,-,-,-
,बहूदकाः,गहरी,containing deep water,ततः,ततः,"सम्बन्धः,2.1",वहाँ_से
,,,,अगर्जत्,अगर्जत्,"अभिहित_कर्ता,4.1",गरजा
,,,,हरि-,हरि-वरः,"षष्ठी-तत्पुरुषः,3.2",हरि-
,30,30,30,वरः,--,"विशेषणम्,4.1",श्रेष्ठ
,,,,सुग्रीवः,सुग्रीवः,"कर्ता,2.1",सुग्रीव_ने
,,,,हेम-,हेम-पिङ्गलः,"बहुव्रीहिः,5.2",हेम-
21.1.A,चित्रकूटम्,चित्रकूटनामक पर्वत को,Citrakuta (mountain),पिङ्गलः,--,"विशेषणम्,4.1",पिङ्गल
,,,,.,.,-,-
,,,,,,,
,अनु-प्राप्य,प्राप्तकर,having reached,,,,
,,,,तेन,तेन,"विशेषणम्,2.1",उस
,,,,नादेन,नादेन,"हेतुः,4.1",नाद_से
,,,,महता,महता,"विशेषणम्,2.1",महान्
,भरद्वाजस्य,भरद्वाज नामक ऋषि की,of the Bharadvaja,निर्जगाम,निर्जगाम,"अभिहित_कर्ता,5.2",आगे_गया
,,,,हरि-,हरि-ईश्वरः,"षष्ठी-तत्पुरुषः,5.2",हरि-
,,,,ईश्वरः,--,"कर्ता,4.1",ईश्वर_ने
,शासनात्,आज्ञा से,according to the instruction,.,.,-,-
,,,,,,,
,,,,,,,
21.2.A,रम्यम्,मनोहर,lovely,अनुमान्य,अनुमान्य,"पूर्वकालः,5.1",स्वीकृति_दिला_कर
,,,,तदा,तदा,"कालाधिकरणम्,5.1",तब
,,,,ताराम्,तारां,"कर्म,1.1",तारा
,आवसथं,पर्णशाला को,cottage,सुग्रीवेण,सुग्रीवेण,"सहार्थः,5.1",सुग्रीव_से
,,,,समागतः,समागतः,-,आया_हुवा
,,,,.,.,-,-
,कृत्वा,(करके) निर्माण करके,having built,निजघान,निजघान,"अभिहित_कर्ता,7.1;सकर्मक",समूल_नष्ट_किया
,,,,च,च,"सम्बन्धः,1.1",च1
,,,,तत्र,तत्र,"देशाधिकरणम्,1.1",वहाँ
,रममाणाः,विहार करते हुए,sporting,एनम्,एनं,"कर्म,1.1",इसको
,,,,शरेण,शरेण,"करणम्,1.1",बाण_से
,,,,एकेन,एकेन,"विशेषणम्,5.1",एक
,वने,वन में,in the forest,राघवः,राघवः,"कर्ता,1.1",रघुवंशी_ने
,,,,.,.,-,-
,,,,ततः,ततः,"सम्बन्धः,10.1",वहाँ_से
,त्रयः,तीनों{राम लक्ष्मण सीता} ने,three (Rama Lakshmana and Sita),सुग्रीव-,सुग्रीव-वचनात्,"षष्ठी-तत्पुरुषः,2.2",सुग्रीव-
,,,,वचनात्,--,"हेतुः,3.1",वचन_से
,,,,हत्वा,हत्वा,"पूर्वकालः,10.1",मार_कर
,31,31,31,वालिनम्,वालिनम्,"कर्म,3.1",वाली
,,,,आहवे,आहवे,"अधिकरणम्,3.1",युद्ध_में
,,,,सुग्रीवम्,सुग्रीवम्,"कर्म,10.1",सुग्रीव
22.1.A,देव-गन्धर्व-सङ्काशाः,देवता और गन्धर्व के समान,like Gods and Gandharvas,एव,एव,"सम्बन्धः,6.1",ही
,,,,तद्-,तद्-राज्ये,"सप्तमी-तत्पुरुषः,8.2",तद्-
,,,,राज्ये,--,"अधिकरणम्,10.1",राज्य_में
,,,,राघवः,राघवः,"प्रयोजककर्ता,10.1;कर्ता,3.1",रघुवंशी
,,,,प्रत्यपादयत्,प्रत्यपादयत्,"अभिहित_कर्ता,9.1;सकर्मक",
,तत्र,वहाँ,there,.,.,-,-
,,,,सः,सः,"प्रयोजककर्ता,8.1;कर्ता,4.1",वह
,,,,च,च,"सम्बन्धः,1.1",च1
,ते,वे,they,सर्वान्,सर्वान्,"विशेषणम्,5.1",सब_
,,,,समानीय,समानीय,"पूर्वकालः,8.1",मिला_कर
,,,,वानरान्,वानरान्,"प्रयोज्यकर्ता,8.1;कर्म,4.1",बन्दर
,न्यवसन्,निवास किया,sojourned,वानरर्षभः,वानरर्षभः,"विशेषणम्,1.1",वानरश्रेष्ठ
,,,,दिशः,दिशः,"कर्म,8.1",स्थानों_को
,,,,प्रस्थापयामास,प्रस्थापयामास,"अभिहित_कर्ता,7.1;सकर्मक",विद्यमान_किया
,सुखम्,सुखपूर्वक,happily,दिदृक्षुः,दिदृक्षुः,"विशेषणम्,1.1",
,,,,जनक-,जनक-आत्मजाम्,"षष्ठी-तत्पुरुषः,10.2",जनक-
,,,,आत्मजाम्,--,"कर्म,9.1",पुत्री
,1.ASloka,1.FSloka,1.GSloka,.,.,-,-
,,,,ततः,ततः,"सम्बन्धः,8.1",वहाँ_से
,,,,गृध्रस्य,गृध्रस्य,"विशेषणम्,4.1",लोभी
2.1.A,चित्रकूटम्,चित्रकूट,to Citrakuta,वचनात्,वचनात्,"हेतुः,8.1",वचन_से
,,,,सम्पातेः,सम्पातेः,"षष्ठीसम्बन्धः,3.1",सम्पाति_के
,,,,हनुमान्,हनुमान्,"कर्ता,8.1",ठोडी
,गते,चले जाने पर,having proceeded,बली,बली,"विशेषणम्,5.1",भैंसा
,,,,शत-,शत-योजन-विस्तीर्णं,"कर्मधारय,7.2",शत-
,,,,योजन-,--,"षष्ठी-बहुव्रीहिः,7.3",योजन-
,रामे,राम (के),shri Rama,विस्तीर्णम्,--,"विशेषणम्,9.2",बिछाया_गये_को
,,,,पुप्लुवे,पुप्लुवे,"अभिहित_कर्ता,6.1;सकर्मक",गया
,,,,लवण-,लवण-अर्णवम्,"षष्ठी-तत्पुरुषः,9.2",लवण-
,पुत्र-शोकातुरः,पुत्र शोक से व्याकुल,stricken with grief at the separation of his son,अर्णवम्,--,"कर्म,8.1",अर्णव
,,,,.,.,-,-
,,,,तत्र,तत्र,"देशाधिकरणम्,10.1",वहाँ
,,,,रावण-,--,"तृतीया_तत्पुरुषः,2.2",रावण-
,तथा,तथा,then,पालिताम्,--,"विशेषणम्,4.1",पालित
,,,,लङ्काम्,--,"विशेषणम्,4.1",लङ्का
,,,,पुरीम्,--,"कर्म,5.1",पुरी
,32,32,32,समासाद्य,--,"पूर्वकालः,10.1",भेज_कर
,,,,अशोक-,--,"कर्मधारयः,6.2",अशोक-
,,,,वनिकाम्,--,"कर्म,7.1",छोटी_जंग_को
3.1.A,राजा,राजा,the ruler(King),गताम्,--,"विशेषणम्,9.1",
,,,,ध्यायन्तीम्,--,"विशेषणम्,9.1",ध्यान_करतीं_हुईं
,,,,सीताम्,--,"कर्म,10.1",सीता_को
,दशरथः,दशरथ,Dasharatha,ददर्श,--,-,देखा
,,,,.,-,-,-
,,,,निवेदयित्वा,निवेदयित्वा,"समुच्चितः,6.1",निवेदन_करके
,स्वर्गम्,स्वर्ग,to heaven,अभिज्ञानम्,अभि_ज्ञनम्,"कर्म,1.1",अभिज्ञान
,,,,प्रवृत्तिम्,प्रवृत्तिं,"कर्म,4.1",प्रवृत्ति
,,,,विनिवेद्य,विनिवेद्य,"समुच्चितः,6.1",वि_नि_विद्1_कर
,जगाम,गया,proceeded,च,च,"समुच्चय_द्योतकः,4.1",च2
,,,,समाश्वास्य,समाश्वास्य,"पूर्वकालः,9.1",साहसी_करके
,,,,च,च,"समुच्चय_द्योतकः,6.1",च2
,वि-लपन्,रोते हुए,bewailing,वैदेहीम्,वैदेहीं,"कर्म,6.1",सीता
,,,,मर्दयामास,मर्दयामास,-,
,,,,तोरणम्,तोरणम्,"कर्म,9.1",तोरण_को
,,,,.,.,-,-
,सुतम्,सुतम्,son (Rama),पञ्च,पञ्च,"विशेषणम्,2.2",
,,,,सेन-,सेन-अग्रगान्,"षष्ठी-तत्पुरुषः,2.2",सेन-
,,,,अग्रगान्,--,"समुच्चितः,5.2",
,गते,चले जाने पर,having proceeded,हत्वा,हत्वा,"पूर्वकालः,12.1",मार_कर
,,,,सप्त,सप्त,"विशेषणम्,5.2",सात
,,,,मन्त्रि-,मन्त्रि-सुतान्,"षष्ठी-तत्पुरुषः,5.2",मन्त्रि-
,तु,किन्तु,but,सुतान्,--,"कर्म,3.1",पुत्र
,,,,अपि,अपि,"समुच्चय_द्योतकः,5.2",भी
,,,,शूरम्,शूरम्,"विशेषणम्,8.1",शूर
,तस्मिन्,उस (राजा दशरथ) के,तस्मिन्,अक्षम्,अक्षं,"कर्म,10.1",धुरा
,,,,च,च,"सम्बन्धः,8.1",च1
,,,,निष्पिष्य,निष्पिष्य,"पूर्वकालः,12.1",कूट_कर
,भरतः,भरत,Bharata,ग्रहणं,ग्रहणं,"कर्म,12.1",ग्रहण_के
,,,,समुपागमत्,समुपागमत्,-,पास_पहुँचा
,,,,.,.,-,-
,वसिष्ठ-प्रमुखैः,वसिष्ठ की प्रधानता वाले,headed by the sage Vasishtha etc.,अस्त्रेण,अस्त्रेण,"करणम्,2.1",अस्त्र_से
,,,,उन्मुक्तम्,उन्मुक्तम्,"कर्म,4.1",उत्_मुच्1या_हुआ
,,,,आत्मानम्,आत्मानं,"कर्म,2.1",आत्मा
,,,,ज्ञात्वा,ज्ञात्वा,"पूर्वकालः,14.1",जान_कर
,द्विजैः,ब्राह्मणों के द्वारा,by the Brahmanas,पैतामहात्,पैतामहात्,"विशेषणम्,6.1",पैतामह
,,,,वरात्,वरात्,"हेतुः,2.1",श्रेष्ठ_से
,,,,मर्षयन्,मर्षयन्,"वर्तमानसमानकालः,14.1",सिंचवाता_हुआ
,33,33,33,राक्षसान्,राक्षसान्,"कर्म,7.1",राक्षस
,,,,वीरः,वीरः,"कर्ता,14.1;कर्ता,4.1",वीर
,,,,यन्त्रिणः,यन्त्रिणः,"विशेषणम्,8.1",जो_जीन_व_साज_से_सुसज्जित_हो_की
4.1.A,नि-युज्यमानः,नियुक्त किया जाता हुआ,being urged,तान्,तान्,"विशेषणम्,8.1",उन
,,,,यदृच्छया,यदृच्छया,"हेतुः,14.1",स्वेच्छा_से
,,,,(रावणम्),(रावणं),"कर्म,14.1",रावण_को
,,,,(प्राप्तवान्),(प्राप्तवान्),-,प्राप्त_हुआ
,राज्याय,राज्य के लिए,to rule over the kingdom,.,.,-,-
,,,,ततः,ततः,"सम्बन्धः,13.1",वहाँ_से
,,,,दग्ध्वा,दग्ध्वा,"पूर्वकालः,13.1",जला_कर
,न,न,(did)not,पुरीम्,पुरीं,"कर्म,2.1",पुरी_को
,,,,लङ्काम्,लङ्काम्,"विशेषणम्,3.1",लङ्का_को
,,,,ऋते,ऋते,"विनार्थ_द्योतकः,6.1",ऋत_में
,ऐच्छत्,चाहा,hanker,सीताम्,सीतां,"विनार्थः,13.1",सीता
,,,,च,च,"सम्बन्धः,6.1",च2
,,,,मैथिलीम्,मैथिलीम्,"विशेषणम्,6.1",सीता
,राज्यम्,राज्य,for the kingdom,रामाय,रामाय,"प्रयोजनम्,11.1",राम_के_लिये
,,,,प्रियम्,प्रियम्,"कर्म,11.1",प्रिय
,,,,आख्यातुम्,आख्यातुं,"प्रयोजनम्,13.1",कहने~के_लिये
,महा-बलः,महान् बली,very powerful,पुनः,पुनः,"क्रियाविशेषणम्,13.1",फिर
,,,,आयात्,आयात्,"अभिहित_कर्ता,14.2;सकर्मक",आङ्_या1या
,,,,महा-,महा-कपिः,"कर्मधारयः,14.2",महा-
,,,,कपिः,--,"कर्ता,13.1;कर्ता,2.1",बंदर_ने
,सः,वह (भरत),he(Bharata),.,.,-,-
,,,,सः,सः,"विशेषणम्,8.2",वह
,,,,अभिगम्य,अभिगम्य,"पूर्वकालः,7.1",निकट_जा_कर
,जगाम,गया,proceeded,महा-,महा-आत्मानम्,"बहुव्रीहिः,3.2",
,,,,आत्मानम्,--,"विशेषणम्,5.1",
,,,,कृत्वा,कृत्वा,"पूर्वकालः,7.1",मार_डाल_कर
,वनम्,वन,forest,रामम्,रामं,"कर्म,2.1",राम_को
,,,,प्रदक्षिणम्,प्रदक्षिणम्,"कर्म,4.1",प्रदक्षिण
,,,,न्यवेदयत्,न्यवेदयत्,"अभिहित_कर्ता,8.2;सकर्मक",निवेदन_किया
,वीरः,वीर,the hero,अमेय-,अमेय-आत्मा,"बहुव्रीहिः,8.2",
,,,,आत्मा,--,"कर्ता,7.1;कर्ता,4.1;कर्ता,2.1",
,,,,दृष्टा,दृष्टा,"वाक्यकर्म,7.1",दृष्ट
,राम-पाद-प्रसादकः,राम चरण को प्रसन्न करने के लिए,in order to please the venerable Rama,सीता,सीता,"कर्म,9.1",सीता
,,,,इति,इति,"वाक्यकर्म_द्योतकः,9.1",ऐसा
,,,,तत्त्वतः,तत्त्वतः,"क्रियाविशेषणम्,9.1",वस्तुतः
,,,,.,.,-,-
,,,,ततः,ततः,"सम्बन्धः,7.1",वहाँ_से
,34,34,34,सुग्रीव-,सुग्रीव-सहितः,"तृतीया-तत्पुरुषः,2.2",सुग्रीव-
,,,,सहितः,--,"सहार्थः,3.1",सहन_करने_वाली_को
,,,,गत्वा,गत्वा,"पूर्वकालः,7.1",जा_कर
5.1.A,गत्वा,जा कर,having approached,तीरम्,तीरं,"कर्म,3.1",तीर
,,,,महा-,महा-उदधेः,"कर्मधारयः,5.2",
,,,,उदधेः,--,"षष्ठीसम्बन्धः,4.1",समुद्र_के
,तु,किन्तु,but,समुद्रम्,समुद्रं,"कर्म,7.1",समुद्र
,,,,क्षोभयामास,क्षोभयामास,-,मथाये
,,,,शरैः,शरैः,"करणम्,7.1",बाणों_से
,सः,वह (भरत),he(Bharata),आदित्य-,आदित्य-सन्निभैः,"बहुव्रीहिः,9.2",आदित्य-
,,,,सन्निभैः,--,"विशेषणम्,8.1",सन्निभ
,,,,.,.,-,-
,महात्मानम्,महात्मा,high souled,दर्शयामास,दर्शयामास,"अभिहित_कर्ता,4.1;सकर्मक",दिखाया
,,,,च,च,"सम्बन्धः,1.1",च1
,,,,आत्मानम्,आत्मानं,"कर्म,1.1",आत्मा
,रामम्,राम (से),to Rama,समुद्रः,समुद्रः,"प्रयोजककर्ता,1.1",समुद्र
,,,,सरिताम्,सरितां,"षष्ठीसम्बन्धः,6.1",नदियों_की
,,,,पतिः,पतिः,"विशेषणम्,4.1",पति
,सत्य-पराक्रमम्,सत्य पराक्रम वाले,having unfailing prowess,.,.,-,-
,,,,(रामः),(रामः),"प्रयोजककर्ता,7.1",राम
,,,,समुद्र-,समुद्र-वचनात्,"षष्ठी-तत्पुरुषः,2.2",समुद्र-
,,,,वचनात्,--,"हेतुः,7.1",वचन_से
,अयाचत्,माँगा,implored,च,च,"सम्बन्धः,2.2",च1
,,,,एव,एव,"सम्बन्धः,3.1",ही
,,,,नलम्,नलं,"प्रयोज्यकर्ता,7.1",नल
,भ्रातरम्,भ्राता,brother,सेतुम्,सेतुम्,"कर्म,7.1",सेतु_को
,,,,अकारयत्,अकारयत्,"अभिहित_कर्ता,1.1;सकर्मक",कराया
,,,,.,.,-,-
,रामम्,राम (से),to Rama,तेन,तेन,"करणम्,2.1",उससे
,,,,गत्वा,गत्वा,"पूर्वकालः,13.1",जा_कर
,,,,पुरीम्,पुरीं,"कर्म,2.1",पुरी
,आर्य-भाव-पुरस्कृतः,उच्चगुण सम्पन्न,rich in noble sentiment,लङ्काम्,लङ्कां,"विशेषणम्,3.1",लङ्का
,,,,हत्वा,हत्वा,"पूर्वकालः,13.1",मार_कर
,,,,रावणम्,रावणम्,"कर्म,5.1",रावण
,,,,आहवे,आहवे,"अधिकरणम्,5.1",युद्ध_में
,,,,रामः,रामः,"कर्ता,13.1;कर्ता,10.1;कर्ता,5.1;कर्ता,2.1",राम_ने
,35,35,35,सीताम्,सीताम्,"कर्म,10.1",सीता_को
,,,,अनुप्राप्य,अनुप्राप्य,"पूर्वकालः,13.1",प्राप्त_करके
,,,,पराम्,परां,"विशेषणम्,12.1",परा_
6.1.A,त्वम्,तुम,you,व्रीडाम्,व्रीडाम्,"कर्म,13.1",लज्जा_को
,,,,उपागमत्,उपागमत्,"अभिहित_कर्ता,8.1;सकर्मक",पास_आया
,,,,.,.,-,-
,एव,ही,alone,ताम्,ताम्,"कर्म,2.1",वह
,,,,उवाच,उवाच,"अभिहित_कर्ता,4.1;सकर्मक",बोला
,,,,ततः,ततः,"सम्बन्धः,2.1",वहाँ_से
,राजा,राजा,the ruler(King),रामः,रामः,"कर्ता,2.1",राम
,,,,परुषम्,परुषं,"कर्म,2.1",कठोर
,,,,जन-,जन-संसदि,"षष्ठी-तत्पुरुषः,6.2",जन-
,धर्म-ज्ञः,धर्म के ज्ञाता,knower of right deed,संसदि,--,"अधिकरणम्,2.1",सभा_में
,,,,.,.,-,-
,,,,अ-,अ-मृष्यमाणा,"नञ्-तत्पुरुषः,1.2",अ-
,,,,मृष्यमाणा,--,"विशेषणम्,3.1",
,इति,ऐसा,thus,सा,सा,"विशेषणम्,3.1",वह
,,,,सीता,सीता,"कर्ता,4.1",सीता_ने
,,,,विवेश,विवेश,"अभिहित_कर्ता,3.1;सकर्मक",अन्दर_प्रवेश_की
,रामम्,राम (से),to Rama,ज्वलनम्,ज्वलनं,"कर्म,4.1",जलने_को
,,,,सती,सती,"विशेषणम्,3.1",सती
,,,,.,.,-,-
,वचः,वचन,(following)words,ततः,ततः,"सम्बन्धः,6.1",वहाँ_से
,,,,अग्नि-,अग्नि-वचनात्,"षष्ठी-तत्पुरुषः,2.2",अग्नि-
,,,,वचनात्,--,"हेतुः,4.1",वचन_से
,अब्रवीत्,कहा,spoke out,सीताम्,सीतां,"कर्म,4.1",सीता_को
,,,,ज्ञात्वा,ज्ञात्वा,"पूर्वकालः,8.1",जान_कर
,,,,विगत-,विगत-कल्मषाम्,"बहुव्रीहिः,5.2",
,रामः,राम,Rama (the son of Dasharatha),कल्मषाम्,--,"विधेय_विशेषणम्,3.1",कल्मषे_को
,,,,बभौ,बभौ,"अभिहित_कर्ता,7.1;सकर्मक",भा1या
,,,,रामः,रामः,"कर्ता,6.1",राम_ने
,अपि,भी,too,सम्प्रहृष्टः,सम्प्रहृष्टः,"विशेषणम्,7.1",सम्_प्र_हृष्या_हुआ
,,,,पूजितः,पूजितः,"विधेय_विशेषणम्,7.1",पूजित
,,,,सर्व-,सर्व-दैवतैः,"कर्मधारयः,10.2",सर्व-
,परमोदारः,परम उदार,supreme magnanimous,दैवतैः,--,"कर्ता,9.1",दैवतों_के_द्वारा
,,,,.,.,-,-
,,,,कर्मणा,कर्मणा,"हेतुः,7.1",कर्म
,सु-मुखः,सुन्दर मुख वाला,wearing a gracious aspect,तेन,तेन,"विशेषणम्,1.1",उससे
,,,,महता,महता,"विशेषणम्,1.1",महान्
,,,,त्रैलोक्यम्,त्रैलोक्यं,"कर्ता,7.1",
,,,,स-,स-चर-अ-चरम्,"बहुव्रीहिः,5.2",स-
,सु-महा-यशाः,सुविख्यात,enjoying a great renown,चर-,--,"द्वन्द्वः,5.3",चर-
,,,,अ-,--,"नञ्-तत्पुरुषः,5.4",अ-
,,,,चरम्,--,"विशेषणम्,4.1",चर
,,,,स-,स-देव-ऋषि-गणं,"बहुव्रीहिः,6.2",स-
,,,,देव-,--,"द्वन्द्वः,6.3",देव-
,36,36,36,ऋषि-,--,"षष्ठी-तत्पुरुषः,6.4",ऋषि-
,,,,गणम्,--,"विशेषणम्,4.1",गण
,,,,तुष्टम्,तुष्टं,,प्रसन्न
7.1.A,न,न,(did)not,राघवस्य,राघवस्य,"षष्ठीसम्बन्धः,1.1",रघुवंशी_का
,,,,महा-,महा-आत्मनः,"बहुव्रीहिः,9.2",महा-
,,,,आत्मनः,--,"विशेषणम्,8.1",आत्मे
,च,भी,च,.,.,-,-
,,,,अभिषिच्य,अभिषिच्य,"पूर्वकालः,10.1",छिडक_कर
,,,,च,च,"सम्बन्धः,1.1",च1
,ऐच्छत्,चाहा,hanker,लङ्कायाम्,लङ्कायां,"अधिकरणम्,1.1",लङ्का_में
,,,,राक्षस-,राक्षस-इन्द्रं,"षष्ठी-तत्पुरुषः,4.2",राक्षस-
,,,,इन्द्रम्,--,"विशेषणम्,5.1",इन्द्र
,पितुः,पिता के,father's,विभीषणम्,विभीषणम्,"कर्म,1.1",विभीषण
